jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Dekanová, Alica",Trnava,www.alicadekanova.sk,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Urbancová, Martina",Praha 8,www.psychoterapie-praha-mu.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Hamaš, Tereza",Praha 1,https://terezahamas.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Martiníková, Olga",Praha,https://hedepy.cz/najit-terapeuta/olga-martinikova?service=1,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Glaserová, Jana",Česká Lípa,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,Jiný
"Průchová, Zdeňka",Česká Lípa,,Info o dostupnosti na vyžádání,,,Integrativní a eklektické pojetí
"Kocábová, Zuzana",Praha 5,,Nepřijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Šedivá, Dana",Plzeň,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Ježová, Ivana",České Budějovice,https://ivanajezova.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hrušková, Marie",Praha 1,www.terapiemarie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Hruška Jetmarová, Simona",Praha 1,https://www.terapeuticka-klinika.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Rangotis Benešová, Kateřina",Praha 7,,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Procházková, Eva",Olomouc,https://eva-prochazkova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Buffa, Giuseppe M.",Praha 6,https://www.bebalanced.cz/team/dr-giuseppe-buffa/?lang=en,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kvinta Gregorová, Michaela",Brno,https://www.spokoterapie.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Hagarová, Alena",Náchod,www.psychoterapie-nachod.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štěpánková, Hana",Praha 4 - Šeberov,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hurychová, et Bc. Kristýna",Praha 8,https://www.teracentrum.cz,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Homolková, Kateřina",České Budějovice,,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Šimánková, Klára",Praha 6,www.klarasimankova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Čema Novák, Martin",Brno,https://www.martin-cema-novak.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Komorová, Anna",Praha 4,annakomorova.cz,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Valer, Jan",Brno,,Nepřijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Konopásek, Jan",Praha 2,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Skalická, Dagmar",Praha Zbraslav,www.psychologie-koucovani.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Fořt, Tomáš",Praha 1,https://psycholozkazpatehopatra.cz/bsc-tomas-fort,Přijímám nové klienty,neuvedeno,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Haluzíková, Lenka",Frýdek-Místek,https://www.haluzikova.cz/,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Polmanová, Šárka",Jirny,https://psycholog-polmanova.webnode.cz/,Přijímám nové klienty,neuvedeno,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Michlová, Daniela",Turnov,www.psychoterapie-turnov.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Titmanová, Michaela",Praha 4,www.mt-psychoterapie.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Doláková, Pavla",Praha 7,Neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Karová, Anna",Praha,,Info o dostupnosti na vyžádání,Osobně,,Integrativní a eklektické pojetí
"Schautová, Nina",Praha 1,www.ninaschautova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lemeer, Lenka",Hradec Králové,lenkalemeer-laskavaterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Krámová, Eva",Praha 3,www.psychoterapie-kramova.com,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Latochová, Olga",Ostrava-Poruba,https://www.terapielatochova.com/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Mironova, Tatjana","Praha 2, Praha 5",https://tove-artists.com/tove_cz https://www.peaceful-parenting.eu/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Starcev, Lucie",Praha 5,Neuvedeno,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Botková, Petra",Praha,https://www.terapiebotkova.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Valešová, Tamara",Brno,www.zittadyated.cz,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Míchal, Petr",České Budějovice,www.petr-michal.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Drozdová, Kristýna",,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Piliarová, Monika",Brno-město,https://www.sebenadosah.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Komárková, Jana",Šlapanice,neuvedeno,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Murza, Jana",Dolní Chabry Praha 8,www.janamurza.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Kognitivně-behaviorální terapie
"Koros Bartošová, Kateřina",Brno,https://terapiescala.cz/,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně",Kognitivně-behaviorální terapie
"Prokopová, Barbora",Olomouc,terapie-prokopova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Holasová, Barbora",Praha 10,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Žiak, Ondrej",Jeseník,https://synergia-terapia.sk/,Info o dostupnosti na vyžádání,"On-line, Osobně",,Integrativní a eklektické pojetí
"Valeš Jelínková, Petra",Praha 2,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Hartmannová, Marcela",Olomouc,https://psychologhartmannova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Klůzová Kráčmarová, Lucie",Hořice,www.psychologiekluzova.cz,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",On-line,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kolářová Ruferová, Věra",Hradec Králové,www.psychoterapie-hradec.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Poláčková, Jana",Frýdlant nad Ostravicí,www.terapeutica.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Hlavicová, Karla",Brno,https://www.port-brno.com/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Ouředníčková, Zuzana",Praha 8,https://www.centrumusebe.cz/,Přijímám nové klienty,,,Psychoterapie zaměřená na tělo
"Pacanová, Eva",Praha 8,https://linktr.ee/evapacanova,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Dvořáková, Hana",Králův Dvůr,www.TerapieBeroun.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Feřtek, Jan",Praha 1,https://janfertek.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Jirovská, Martina",Praha 6,www.martinajirovska.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kostrhounová, Andrea",Příbram I.,www.psycholog-kostrhounova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Okálová, Oľga",Žilina,www.inkluzivne.sk,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Jiný
"Chlumská, Pavla",Praha 5,https://pavlachlumska.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kohut, Tereza",Praha,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Chomínová, Tereza",Chrudim,,Info o dostupnosti na vyžádání,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Smolík, Štěpán",Praha,stepansmolik.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jůn, Hynek",Praha 7,www.nautis.cz,Nepřijímám nové klienty,neuvedeno,Osobně,Kognitivně-behaviorální terapie
"Jandová, Regina",Praha,,Nepřijímám nové klienty,,,Kognitivně-behaviorální terapie
"Petrová, Helena",Praha,https://psychologie-petrova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Betka, Vojtěch",Praha 6,www.betka-terapie.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vlčinský, Matouš",Praha 6 - Dejvice,,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Elischerová, Pavla",Praha,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Nováková, Eva",Praha 4,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hniková, Michaela",Praha 4 - Podolí,www.michaelahnikova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Almássy, Genovéva",Žamberk,www.albertinum-olu.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pešková, Kateřina",Kladno,katkapeskova.cz,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kadeřábek, Martin",Praha 6,www.martinkaderabek.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Ostrovský, Ondřej",Plzeň,www.pecujmeodusi.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kameník, Jiří",Olomouc,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Mánková, Lenka",Lanškroun,https://www.terapie-mankova.cz/,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Lisníková, Kateřina",Ostrava,www.terapielisnikova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Dolanská, Jiřina",Praha 8,centrumelektra.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Machová, Lucie",Praha 9,"www.luciemachova.cz, www.podporamaterstvi.cz",Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Legner, Lukáš",Světlá nad Sázavou,http://www.psychologie-svetla.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,Kognitivně-behaviorální terapie
"Frňková, Pavla",https://www.rozvoj-osobnosti.eu/,,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Valášek, Štěpán",Pardubice,https://www.psychpce.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně",Kognitivně-behaviorální terapie
"Okoduwa, Veronika",Praha 3,www.veronikaokoduwa.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Sácký, Vladimír",Ostrava,www.sacky-psychoterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Valová, Alžbeta",Brno,https://avpsycholog.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Holeyšovský, Jan",,,Info o dostupnosti na vyžádání,,,
"Sobotíková, Michaela",Jičín,Sobotikova.com,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně",Jiný
